Дата регистрации,Зарегистрировано курьеров,Курьеров с заказами,Выполнено заказов (всего),Среднее заказов на курьера
2026-05-01,1,1,321,321.0
2026-05-02,2,1,182,182.0
2026-05-03,1,1,644,644.0
2026-05-04,4,1,70,70.0
2026-05-05,1,1,278,278.0
2026-05-06,1,1,598,598.0
2026-05-07,4,2,499,249.5
2026-05-08,3,1,203,203.0
2026-05-09,4,3,324,108.0
2026-05-10,2,1,384,384.0
2026-05-11,1,1,429,429.0
2026-05-12,1,1,392,392.0
2026-05-13,3,1,510,510.0
2026-05-14,1,1,120,120.0
2026-05-15,3,3,673,224.3
2026-05-16,3,3,236,78.7
2026-05-17,1,1,273,273.0
2026-05-18,3,1,278,278.0
2026-05-19,1,1,324,324.0
2026-05-20,4,3,206,68.7
2026-05-21,3,2,254,127.0
2026-05-22,3,3,113,37.7
2026-05-23,2,1,207,207.0
2026-05-24,4,4,316,79.0
2026-05-25,2,2,97,48.5
2026-05-26,2,1,363,363.0
2026-05-27,4,3,107,35.7
2026-05-28,2,2,257,128.5
2026-05-29,4,4,698,174.5
2026-05-30,4,2,311,155.5
2026-05-31,2,1,614,614.0
2026-06-01,3,3,638,212.7
2026-06-02,4,4,410,102.5
2026-06-03,2,1,561,561.0
2026-06-04,4,1,88,88.0
2026-06-05,1,1,682,682.0
2026-06-06,2,2,650,325.0
2026-06-07,1,1,430,430.0
2026-06-08,4,3,606,202.0
2026-06-09,1,1,589,589.0
2026-06-10,3,3,388,129.3
2026-06-11,1,1,485,485.0
2026-06-12,2,2,43,21.5
2026-06-13,3,3,222,74.0
2026-06-14,1,1,694,694.0
2026-06-15,2,1,422,422.0
2026-06-16,2,1,653,653.0
2026-06-17,3,2,59,29.5
2026-06-18,1,1,354,354.0
2026-06-19,2,1,286,286.0
2026-06-20,1,1,537,537.0
2026-06-21,1,1,171,171.0
2026-06-22,4,2,311,155.5
2026-06-23,4,2,592,296.0
2026-06-24,2,2,448,224.0
2026-06-25,3,2,569,284.5
2026-06-26,4,1,293,293.0
2026-06-27,2,1,386,386.0
2026-06-28,1,1,642,642.0
2026-06-29,2,1,112,112.0
2026-06-30,1,1,109,109.0
2026-07-01,1,1,112,112.0
2026-07-02,2,2,537,268.5
2026-07-03,2,1,624,624.0
2026-07-04,4,2,524,262.0
2026-07-05,4,2,136,68.0
2026-07-06,1,1,402,402.0
2026-07-07,4,4,518,129.5
2026-07-08,1,1,102,102.0
2026-07-09,4,3,151,50.3
2026-07-10,2,1,234,234.0
2026-07-11,4,2,472,236.0
2026-07-12,2,2,513,256.5
2026-07-13,2,1,493,493.0
2026-07-14,1,1,593,593.0
